,Fiscal Quarter,Q4 2024,Q4 2023,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,235446,711240,167022,421999
1,Cost of Revenue,216788,722021,143374,391008
2,Gross Profit,18658,-10781,23647,30992
3,"Selling, General & Admin",15911,-70380,12103,9593
4,Operating Expenses,15911,-70380,12103,9593
5,Operating Income,2747,59599,11544,21398
6,Interest Expense,-8996,-3797,-9232,-6535
7,Interest & Investment Income,4122,3333,1997,2024
8,Other Non Operating Income (Expenses),3018,-56319,-3712,6.78
9,Pretax Income,891.04,2815,596.77,16895
10,Income Tax Expense,6069,294.01,237.03,3379
11,Net Income,-5178,2521,359.74,13516
12,Net Income to Common,-5178,2521,359.74,13516
13,Shares Outstanding (Basic),30,31,15,13
14,Shares Outstanding (Diluted),30,31,15,13
15,EPS (Basic),-170.00,82.50,23.81,1073.02
16,EPS (Diluted),-170.00,82.50,23.81,1073.02
17,Gross Margin,7.92%,-1.52%,14.16%,7.34%
18,Operating Margin,1.17%,8.38%,6.91%,5.07%
19,Profit Margin,-2.20%,0.35%,0.22%,3.20%
20,EBITDA,14651,-,-,-
21,EBITDA Margin,6.22%,-,-,-
22,D&A For EBITDA,11904,-,-,-
23,EBIT,2747,59599,11544,21398
24,EBIT Margin,1.17%,8.38%,6.91%,5.07%
25,Effective Tax Rate,681.11%,10.44%,39.72%,20.00%
26,Revenue as Reported,235446,711240,167022,421999
