,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Market Capitalization,168504,161138,110010
1,Last Close Price,18300.00,17500.00,15726.37
2,PE Ratio,7.30,17.98,25.04
3,PS Ratio,0.63,1.21,1.60
4,PB Ratio,1.19,1.19,1.22
5,P/TBV Ratio,1.19,1.19,1.22
6,Debt / Equity Ratio,0.28,0.28,0.14
7,Debt / EBITDA Ratio,0.85,1.48,-
8,Quick Ratio,1.71,1.78,0.78
9,Current Ratio,1.84,1.84,0.95
10,Return on Capital Employed (ROCE),13.70%,4.00%,6.21%
11,Earnings Yield,13.71%,5.56%,3.99%
